"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"6160","경기도 광명시 하안동","681","0681","0000","주공2","59.3900","202605","09","66,000","-","11","개인","개인","1989","안현로 35","-","중개거래","경기 광명시","-"
"6161","경기도 화성시 동탄구 송동","693","0693","0000","동탄2하우스디더레이크","74.8800","202605","09","85,000","-","17","개인","개인","2016","동탄대로9길 19","-","중개거래","경기 수원시 팔달구, 경기 화성시 동탄구","-"
"6162","경기도 성남시 중원구 은행동","1740","1740","0000","은빛마을(두산위브)","56.6448","202605","09","66,900","-","9","개인","개인","2003","은행로 13","-","중개거래","경기 성남시 중원구","-"
"6163","경기도 수원시 영통구 영통동","966-2","0966","0002","신나무실건영","99.9600","202605","09","96,900","-","4","개인","개인","2000","매영로 346","-","중개거래","경기 수원시 영통구","-"
"6164","경기도 의정부시 고산동","903","0903","0000","고산리슈빌포레","59.7100","202605","09","32,000","-","6","개인","개인","2021","훈민로 13","-","중개거래","경기 의정부시","-"
"6165","경기도 구리시 교문동","809","0809","0000","한가람아파트","62.0100","202605","09","82,000","-","3","개인","개인","1994","장자대로37번길 70","-","중개거래","경기 구리시","-"
"6166","서울특별시 금천구 시흥동","1026","1026","0000","남서울힐스테이트","84.6770","202605","09","90,000","-","2","개인","개인","2014","시흥대로 165","-","중개거래","서울 금천구","-"
"6167","서울특별시 노원구 하계동","280","0280","0000","미성","57.9700","202605","09","73,800","-","14","개인","개인","1989","공릉로59길 28","-","중개거래","서울 노원구, 서울 도봉구","-"
"6168","부산광역시 연제구 거제동","1536","1536","0000","레이카운티(1단지)","84.9823","202605","09","107,000","-","29","개인","개인","2023","아시아드대로 39","-","중개거래","부산 연제구","-"
"6169","서울특별시 구로구 구로동","1260","1260","0000","이화우성","59.8200","202605","09","61,000","-","2","개인","개인","1998","도림로22길 8","-","중개거래","서울 구로구","-"
"6170","서울특별시 서대문구 홍제동","456","0456","0000","성원","41.5000","202605","09","49,700","-","7","개인","개인","1998","모래내로 430","-","중개거래","서울 서대문구","-"
"6171","서울특별시 성북구 정릉동","1028","1028","0000","정릉e-편한세상","59.7700","202605","09","67,800","-","8","개인","개인","2006","솔샘로24길 15","-","중개거래","서울 성북구","-"
"6172","경기도 성남시 중원구 여수동","602","0602","0000","산들마을2단지","51.7100","202605","09","87,950","-","3","개인","개인","2015","여수울로 51","-","중개거래","경기 성남시 중원구, 경기 하남시","-"
"6173","서울특별시 광진구 구의동","659","0659","0000","세림리오빌","84.6700","202605","09","82,000","-","10","개인","개인","2005","아차산로 451","-","중개거래","서울 광진구","-"
"6174","대전광역시 유성구 상대동","580","0580","0000","대전아이파크시티2단지","84.8389","202605","09","84,500","-","17","개인","개인","2021","상대복용로29번길 51","-","중개거래","대전 유성구","-"
"6175","서울특별시 노원구 상계동","639","0639","0000","보람아파트","44.3300","202605","09","43,500","-","10","개인","개인","1988","한글비석로 479","-","중개거래","서울 노원구","-"
"6176","서울특별시 강서구 등촌동","632-2","0632","0002","태영","84.9800","202605","09","90,000","-","3","개인","개인","1998","양천로 590","-","중개거래","서울 강서구","-"
"6177","서울특별시 노원구 상계동","740","0740","0000","상계주공2(고층)","58.0100","202605","09","69,000","-","13","개인","개인","1987","동일로215길 23","-","중개거래","서울 노원구","-"
"6178","경기도 화성시 동탄구 산척동","745","0745","0000","레이크힐 반도유보라 아이비파크 10.2","96.7859","202605","09","61,250","-","10","개인","개인","2018","동탄순환대로10길 88","-","중개거래","경기 화성시 동탄구","-"
"6179","경기도 광주시 고산동","695","0695","0000","더샵오포센트리체","76.9900","202605","09","56,000","-","2","개인","개인","2023","태봉로 225","-","중개거래","경기 광주시","-"
"6180","경기도 고양시 일산서구 일산동","1997","1997","0000","주은1","79.5400","202605","09","25,000","-","6","개인","개인","1999","산현로92번길 20","-","중개거래","경기 고양시 일산서구","-"
"6181","충청북도 청주시 흥덕구 강서동","33-7","0033","0007","우정","22.6400","202605","09","2,900","-","7","개인","법인","1992","가로수로1154번길 21-5","-","중개거래","충북 청주시 흥덕구","-"
"6182","경상북도 포항시 남구 오천읍 문덕리","359-1","0359","0001","힐링엘가","80.4900","202605","09","14,300","-","4","개인","개인","2015","문덕로54번길 21","-","중개거래","경북 포항시 남구","-"
"6183","경기도 고양시 덕양구 도내동","1107","1107","0000","고양원흥동일스위트","84.9956","202605","09","96,500","-","12","개인","개인","2018","도래울1로 80","-","중개거래","경기 고양시 덕양구","-"
"6184","경기도 양주시 옥정동","959","0959","0000","옥정중앙역중흥S-클래스센텀시티(2단지)","84.9784","202605","09","55,500","-","17","개인","개인","2022","회천남로 116","-","중개거래","경기 양주시","-"
"6185","광주광역시 동구 충장로5가","96-4","0096","0004","로머스파크헤리티지","59.9682","202605","09","27,500","-","11","개인","법인","2023","독립로226번길 5-10","-","중개거래","광주 동구","-"
"6186","광주광역시 북구 운암동","1783","1783","0000","중외공원모아미래도","68.1704","202605","09","36,000","-","12","개인","개인","2022","서강로 171","-","중개거래","광주 북구","-"
"6187","세종특별자치시  보람동","786","0786","0000","호려울마을1단지(대방노블랜드)","84.9201","202605","09","66,000","-","17","개인","개인","2017","남세종로 503","-","중개거래","세종","-"
"6188","전라남도 무안군 삼향읍 남악리","2310","2310","0000","펠리시티2차","69.0298","202605","09","17,000","-","10","개인","개인","2013","남악4로 40","-","중개거래","전남 무안군","-"
"6189","경기도 화성시 동탄구 송동","692","0692","0000","동탄2엘에이치26단지아파트(에이65블록)","84.6800","202605","09","70,000","-","16","개인","개인","2016","동탄대로9길 20","-","중개거래","경기 화성시 동탄구","-"
"6190","울산광역시 남구 야음동","487-8","0487","0008","더샵번영센트로","84.8775","202605","09","84,000","-","18","개인","개인","2023","번영로16번길 19","-","중개거래","울산 남구","-"
"6191","경기도 남양주시 퇴계원읍 퇴계원리","288-11","0288","0011","신우가든","68.5850","202605","09","24,400","1","5","개인","개인","1992","퇴계원로23번길 11-8","-","중개거래","경기 남양주시","26.05.14"
"6192","충청북도 청주시 서원구 사직동","238-45","0238","0045","평화","78.9600","202605","09","10,000","1","4","개인","개인","1985","직지대로772번길 14","-","직거래","-","26.05.14"
